"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051281","GO:0051281","positive regulation of release of sequestered calcium ion into cytosol","9/1308","30/18842",0.3,4.32155963302752,4.97279483687604,0.000137168176468885,0.00410331380528962,0.00410331380528962,"CXCL11/P2RY6/CXCR3/F2/CXCL10/NTSR1/CD19/CEMIP/CXCL9",9
"GO:0000725","GO:0000725","recombinational repair","28/1308","192/18842",0.145833333333333,2.10075815494393,4.18714936624628,0.000150755571234234,0.0044802979241965,0.0044802979241965,"GINS2/UHRF1/RAD51AP1/BLM/AUNIP/POLQ/CDC45/HELLS/FANCB/CDC7/BRCA2/PARPBP/PLK1/XRCC2/TEX15/MCM2/FEN1/GINS4/RAD21L1/CHEK1/MCM4/RAD54L/TONSL/ANKLE1/RMI2/RECQL4/RAD54B/RAD51",28
"GO:0000079","GO:0000079","regulation of cyclin-dependent protein serine/threonine kinase activity","9/1308","31/18842",0.290322580645161,4.18215448357502,4.84296700616696,0.000181458461559649,0.00535773782280341,0.00535773782280341,"CDKN2A/CDC6/BLM/CCNE2/PKMYT1/CDC25A/CDKN3/CDK5R2/CDC25C",9
"GO:0051438","GO:0051438","regulation of ubiquitin-protein transferase activity","7/1308","19/18842",0.368421052631579,5.30717849670047,5.13027440549611,0.000183298091068802,0.00537713819412803,0.00537713819412803,"CDKN2A/CDC20/MAGEC2/MAGEA2/MAD2L1/UBE2S/UBE2C",7
"GO:0002449","GO:0002449","lymphocyte mediated immunity","42/1308","339/18842",0.123893805309735,1.78471489269573,3.98204364053746,0.000187551563284198,0.00546664716829005,0.00546664716829005,"IGHV1-69-2/LAG3/CR1L/IL21/IGHV3-23/FOXJ1/IGHV7-4-1/SERPINB4/IL21R/RAET1L/IGHV5-51/IGHV1-18/IGHE/CD80/IGHV1-69D/IGHG1/IGHG3/IFNB1/FCGR1A/CALHM6/SECTM1/KIR2DL4/CD1A/IL4I1/IGHG2/IGHV3-73/CD1B/IGHV3-20/GZMB/TIGIT/ULBP2/PDCD1/IGHG4/CD19/IGHV3-21/IGHV3-33/FOXP3/CR2/FUT7/ULBP1/IGHV1-69/IL12B",42
"GO:0000910","GO:0000910","cytokinesis","28/1308","195/18842",0.143589743589744,2.06843879871403,4.09616852676407,0.000196805017626543,0.00569982430030503,0.00569982430030503,"CENPA/RACGAP1/RXFP3/CDC6/BIRC5/CEP55/ECT2/KIF4B/ESPL1/CDC25B/AURKB/SEPTIN3/FSD1/PRC1/KIF4A/KIF20A/AURKA/E2F7/STMN1/PLK1/CDCA8/KIF23/CIT/IQGAP3/KIF14/E2F8/ANLN/CXCR5",28
"GO:0031640","GO:0031640","killing of cells of another organism","19/1308","111/18842",0.171171171171171,2.46575474557126,4.23016845261614,0.00021596954076437,0.00617618554626157,0.00617618554626157,"CXCL11/GBP5/PGLYRP3/H2BC11/PGLYRP4/CCL25/F2/CCL17/CXCL10/KRT6A/CCL11/LYZ/GZMB/H2BC12/CCL1/CXCL9/CCL20/HTN1/CXCL8",19
"GO:0141061","GO:0141061","disruption of cell in another organism","19/1308","111/18842",0.171171171171171,2.46575474557126,4.23016845261614,0.00021596954076437,0.00617618554626157,0.00617618554626157,"CXCL11/GBP5/PGLYRP3/H2BC11/PGLYRP4/CCL25/F2/CCL17/CXCL10/KRT6A/CCL11/LYZ/GZMB/H2BC12/CCL1/CXCL9/CCL20/HTN1/CXCL8",19
"GO:0030198","GO:0030198","extracellular matrix organization","36/1308","278/18842",0.129496402877698,1.86542142432843,3.97035743361277,0.000222759184731243,0.00633053758108102,0.00633053758108102,"COL10A1/COL22A1/COL11A2/MMP11/MMP3/CARMIL2/DMP1/MMP10/IBSP/ZNF469/PRSS1/WT1/COL11A1/COL6A5/MELTF/COL9A1/MMP12/MMP1/ADAMTS14/PLAUR/NPHS1/APLP1/GDPD2/MMP7/ADAMTS20/PRSS2/COL9A3/FSCN1/CTSV/MMP20/SCX/MMP9/MMP13/COL19A1/ADAM8/COL2A1",36
"GO:0090266","GO:0090266","regulation of mitotic cell cycle spindle assembly checkpoint","9/1308","32/18842",0.28125,4.0514621559633,4.71849962955173,0.000237031763138032,0.00665298411721377,0.00665298411721377,"BIRC5/KNL1/AURKB/MAD2L1/SKA1/CCNB1/CDCA8/NDC80/SKA3",9
"GO:1903504","GO:1903504","regulation of mitotic spindle checkpoint","9/1308","32/18842",0.28125,4.0514621559633,4.71849962955173,0.000237031763138032,0.00665298411721377,0.00665298411721377,"BIRC5/KNL1/AURKB/MAD2L1/SKA1/CCNB1/CDCA8/NDC80/SKA3",9
"GO:0043062","GO:0043062","extracellular structure organization","36/1308","279/18842",0.129032258064516,1.85873532603334,3.94686883554869,0.000239085119238314,0.00666944808083813,0.00666944808083813,"COL10A1/COL22A1/COL11A2/MMP11/MMP3/CARMIL2/DMP1/MMP10/IBSP/ZNF469/PRSS1/WT1/COL11A1/COL6A5/MELTF/COL9A1/MMP12/MMP1/ADAMTS14/PLAUR/NPHS1/APLP1/GDPD2/MMP7/ADAMTS20/PRSS2/COL9A3/FSCN1/CTSV/MMP20/SCX/MMP9/MMP13/COL19A1/ADAM8/COL2A1",36
"GO:0045910","GO:0045910","negative regulation of DNA recombination","11/1308","46/18842",0.239130434782609,3.44472144661614,4.53409824057248,0.000240626015917102,0.00667150301448208,0.00667150301448208,"BLM/H1-5/POLQ/FANCB/H1-1/H1-6/PARPBP/PLK1/H1-3/ANKLE1/RMI2",11
"GO:0006270","GO:0006270","DNA replication initiation","10/1308","39/18842",0.256410256410256,3.69364071198934,4.59910943402072,0.000248755101305753,0.00685508754931671,0.00685508754931671,"CDC6/MCM10/TICRR/CDC45/ORC6/CDT1/ORC1/MCM2/MCM4/DTL",10
"GO:0045229","GO:0045229","external encapsulating structure organization","36/1308","280/18842",0.128571428571429,1.85209698558322,3.92347605184417,0.000256473709458707,0.00702521660788398,0.00702521660788398,"COL10A1/COL22A1/COL11A2/MMP11/MMP3/CARMIL2/DMP1/MMP10/IBSP/ZNF469/PRSS1/WT1/COL11A1/COL6A5/MELTF/COL9A1/MMP12/MMP1/ADAMTS14/PLAUR/NPHS1/APLP1/GDPD2/MMP7/ADAMTS20/PRSS2/COL9A3/FSCN1/CTSV/MMP20/SCX/MMP9/MMP13/COL19A1/ADAM8/COL2A1",36
"GO:1902751","GO:1902751","positive regulation of cell cycle G2/M phase transition","8/1308","26/18842",0.307692307692308,4.4323688543872,4.78335176643454,0.000266386004724772,0.00725303690708706,0.00725303690708706,"CDC25B/CDC7/PHOX2B/CCNB1/CDC25A/CDK1/DTL/CDC25C",8
"GO:0007586","GO:0007586","digestion","20/1308","122/18842",0.163934426229508,2.3615079961899,4.12061970593521,0.000271439405571475,0.00734663676865177,0.00734663676865177,"CLPS/TFF2/OPRK1/VIL1/PRSS1/MUC13/CLPSL2/UCN3/SCT/CHRM3/NMU/CLPSL1/AQP5/CRACD/CHIA/PRSS3/TIFAB/INAVA/CCK/PRSS2",20
"GO:0001708","GO:0001708","cell fate specification","14/1308","70/18842",0.2,2.88103975535168,4.30632761946947,0.000275602337581884,0.00741517058570904,0.00741517058570904,"FOXA2/HOXA11/FOXI3/DKK1/POU3F2/SIX2/SHH/ISL2/TBX20/OLIG2/SOX2/MNX1/POU4F1/TBR1",14
"GO:0043009","GO:0043009","chordate embryonic development","31/1308","230/18842",0.134782608695652,1.94157026991092,3.92405855163229,0.000293297359004568,0.00784187994326614,0.00784187994326614,"STIL/NKX2-5/TRIM71/CDX2/LHX1/HORMAD1/RIPPLY3/HOXB9/HOXA11/FOXI3/PLK4/FOXD3/UCMA/FOXC2/SOX11/RIPPLY2/GRHL3/E2F7/MTHFD1L/ASCL2/SOX8/DLX4/ZIC3/HOXC11/MESP2/DLX5/E2F8/MYH6/DLX6/SCX/COL2A1",31
"GO:0007423","GO:0007423","sensory organ development","45/1308","379/18842",0.118733509234828,1.71037980198978,3.81570174446639,0.000296414969073217,0.00784187994326614,0.00784187994326614,"PLAAT1/GABRA5/WNT10A/GJB2/CCNA2/LHX1/FOXL2/FBN3/WT1/SIX3/SOX11/PHOX2B/MYO3B/WNT7A/OLFM3/POU3F4/PAX6/TYRP1/TMEM132E/FBN2/MCM2/OLIG1/TIFAB/ASCL2/PRSS56/OLIG2/MYO3A/SOX8/LHX3/ZIC3/OLIG3/PAX5/OTOP1/SOX2/LCTL/CRYBA2/MFAP2/ZIC1/INHBA/FOXE3/SCO2/WNT6/TH/HMX3/COL2A1",45
"GO:0034342","GO:0034342","response to type III interferon","5/1308","10/18842",0.5,7.2025993883792,5.35847063296755,0.000300085135282232,0.00784187994326614,0.00784187994326614,"IFNL4/IFNL3/IFNL1/IFNG/IFNL2",5
"GO:0060623","GO:0060623","regulation of chromosome condensation","5/1308","10/18842",0.5,7.2025993883792,5.35847063296755,0.000300085135282232,0.00784187994326614,0.00784187994326614,"CTPS1/CCNB1/NCAPG/NCAPH/SMC4",5
